分组,参数区间,平均收益,收益标准差,胜率,最大回撤,年化收益率,年化收益标准差,样本数量,年化夏普比率,年化索提诺比率
1,"[-0.203, -0.200]",0.019,0.107,0.53,-0.742,4.868,1.692,251,45.685,6.79
2,"[-0.199, -0.199]",0.012,0.079,0.615,-0.302,3.131,1.256,26,39.583,3.619
3,"[-0.198, -0.191]",0.013,0.083,0.606,-0.44,3.265,1.315,71,39.411,3.841
4,"[-0.190, -0.180]",0.015,0.086,0.43,-0.336,3.882,1.364,79,45.19,8.432
5,"[-0.179, -0.172]",-0.002,0.084,0.439,-0.59,-0.4,1.326,82,-4.782,-0.646
6,"[-0.171, -0.165]",-0.003,0.07,0.44,-0.542,-0.731,1.117,91,-10.386,-1.368
7,"[-0.164, -0.158]",0.008,0.08,0.456,-0.341,1.892,1.269,79,23.671,4.095
8,"[-0.157, -0.150]",0.012,0.093,0.479,-0.385,2.917,1.481,94,31.261,4.583
9,"[-0.149, -0.140]",0.011,0.081,0.513,-0.422,2.795,1.289,76,34.43,6.279
